type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,45.6043274,20.1837872,1951,74,666000.0,666000.0,1665000.0,9000.0,12.01,300.3
Nesanitarne deponije,45.73294,19.372397,1990,35,210000.0,210000.0,525000.0,6000.0,5.66,141.55
Nesanitarne deponije,44.4752325,20.0887888,2004,21,230180.0,230180.0,575450.0,10960.95,7.32,183.07
Nesanitarne deponije,43.4939197,19.6327993,1983,42,672000.0,672000.0,1680000.0,16000.0,16.73,418.15
Nesanitarne deponije,43.65,21.82,1970,55,440000.0,440000.0,1100000.0,8000.0,9.53,238.13
Nesanitarne deponije,44.7457,21.5464,1992,33,199056.0,199056.0,497640.0,6032.0,5.49,137.34
Nesanitarne deponije,44.4770813,20.0894164,1965,60,812400.0,812400.0,2031000.0,13540.0,16.72,418.05
Nesanitarne deponije,44.54,19.2,1965,60,1920000.0,1920000.0,4800000.0,32000.0,39.52,988.01
Nesanitarne deponije,44.4197145,20.3699057,2011,14,303058.0,303058.0,757645.0,21647.0,10.4,260.02
Nesanitarne deponije,44.56,22.56,1997,28,238000.0,238000.0,595000.0,8500.0,6.97,174.22
Nesanitarne deponije,43.6652,21.5625875,1986,39,42900.0,42900.0,107250.0,1100.0,1.1,27.61
Nesanitarne deponije,45.016111,19.846553,1984,41,738000.0,738000.0,1845000.0,18000.0,18.58,464.4
Nesanitarne deponije,44.034167,20.931949,1968,57,13227078.0,13227078.0,33067695.0,232054.0,280.57,7014.16
Nesanitarne deponije,46.089054,20.017072,1981,44,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,42.3821709,22.0594989,1992,33,4488.0,4488.0,11220.0,136.0,0.12,3.1
Nesanitarne deponije,45.246702,19.499267,1984,41,1906500.0,1906500.0,4766250.0,46500.0,47.99,1199.71
Nesanitarne deponije,45.0888835,20.0496178,1981,44,682000.0,682000.0,1705000.0,15500.0,16.6,415.04
Nesanitarne deponije,45.127541,20.500531,2009,16,52800.0,52800.0,132000.0,3300.0,1.78,44.41
Nesanitarne deponije,45.2017398,19.7038667,1970,55,275000.0,275000.0,687500.0,5000.0,5.95,148.83
Nesanitarne deponije,45.895785,20.103254,2002,23,61110.0,61110.0,152775.0,2656.96,1.9,47.47
Nesanitarne deponije,45.4124,19.2526,1976,49,318500.0,318500.0,796250.0,6500.0,7.34,183.57
Nesanitarne deponije,45.3337,19.3256,1990,35,297500.0,297500.0,743750.0,8500.0,8.02,200.53
Nesanitarne deponije,44.0,21.0,1980,45,328000.0,328000.0,820000.0,7288.89,7.9,197.42
Nesanitarne deponije,43.720387,21.3889681,1986,39,234000.0,234000.0,585000.0,6000.0,6.02,150.62
