type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,44.3535,19.3964,2005,20,10.0,25.0,62.5,0.5,0.0,0.01,383.2,275.02,tile_block_400_79.jpg,3.15
Wild,44.4246,19.4829,2005,20,6.7,20.0,50.0,0.34,0.0,0.01,255.33,188.78,tile_block_385_93.jpg,2.82
Wild,44.4042,19.2721,2005,20,83.0,50.0,125.0,4.15,0.0,0.07,323.63,74.05,tile_block_389_60.jpg,4.46
Wild,44.3893,19.3785,2005,20,10.0,30.0,75.0,0.5,0.0,0.01,59.33,366.42,tile_block_392_77.jpg,3.45
Wild,44.3469,19.3328,2005,20,16.6,100.0,250.0,0.83,0.0,0.01,419.53,394.95,tile_block_401_69.jpg,6.31
Wild,44.3755,19.3864,2005,20,66.7,55.0,137.5,3.33,0.0,0.05,146.36,375.7,tile_block_395_78.jpg,4.68
Wild,44.3686,19.3742,2005,20,66.7,45.0,112.5,3.33,0.0,0.05,183.2,98.91,tile_block_397_76.jpg,4.23
Wild,44.4823,19.3855,2005,20,33.3,15.0,37.5,1.66,0.0,0.03,308.72,287.25,tile_block_372_78.jpg,2.44
Wild,44.4888,19.3969,2005,20,66.7,60.0,150.0,3.33,0.0,0.05,205.44,95.09,tile_block_371_80.jpg,4.89
Wild,44.4888,19.4023,2005,20,111.0,70.0,175.0,5.55,0.0,0.09,122.81,103.49,tile_block_371_81.jpg,5.28
Wild,44.3866,19.4145,2005,20,100.0,60.0,150.0,5.0,0.0,0.08,360.88,210.48,tile_block_393_82.jpg,4.89
Wild,44.4822,19.371,2005,20,5.0,5.0,12.5,0.25,0.0,0.0,179.43,275.49,tile_block_372_76.jpg,1.41
Wild,44.4799,19.3651,2005,20,10.0,10.0,25.0,0.5,0.0,0.01,217.13,9.6,tile_block_373_75.jpg,1.99
